State,LGA,11: Separate house,"21: Semi-detached, row or terrace house, townhouse etc. with : One storey","22: Semi-detached, row or terrace house, townhouse etc. with : Two or more storeys",31: Flat or apartment: In a one or two storey block,32: Flat or apartment: In a three storey block,33: Flat or apartment: In a four or more storey block,34: Flat or apartment: Attached to a house,91: Caravan,"92: Cabin, houseboat","93: Improved home, tent, sleepers out","94: House or flat attached to a shop, office, etc.",Z: Not stated
5: Western Australia,51400: Capel (S),1057,108,8,106,0,0,0,0,0,0,0,3
4: South Australia,47490: Streaky Bay (DC),179,9,0,0,0,0,0,0,4,0,0,0
4: South Australia,47290: Southern Mallee (DC),167,6,0,3,0,0,0,7,0,0,0,0
4: South Australia,47140: Salisbury (C),9423,2425,868,1146,313,211,6,19,24,0,24,25
4: South Australia,41060: Charles Sturt (C),5721,3878,1890,2267,357,321,19,12,3,3,34,48
4: South Australia,40310: Barossa (DC),1412,241,7,79,4,0,0,5,4,5,3,11
4: South Australia,40430: Barunga West (DC),185,8,0,10,0,0,0,0,3,0,8,0
4: South Australia,40520: Berri and Barmera (DC),947,225,0,137,0,0,0,8,5,3,0,13
4: South Australia,40700: Burnside (C),1370,1025,392,857,101,52,0,0,0,0,7,13
4: South Australia,40910: Campbelltown (C) (SA),2722,1047,153,1089,0,0,3,0,0,0,4,24
4: South Australia,41010: Ceduna (DC),417,18,0,40,0,0,0,9,22,86,0,8
4: South Australia,41140: Clare and Gilbert Valleys (DC),707,76,0,23,0,0,0,3,15,0,4,10
4: South Australia,46970: Roxby Downs (M),666,128,0,46,0,0,0,0,12,0,0,7
4: South Australia,41190: Cleve (DC),141,0,0,0,0,0,0,3,14,0,0,3
4: South Australia,41330: Coober Pedy (DC),240,3,0,0,0,0,0,3,0,0,0,15
4: South Australia,41560: Copper Coast (DC),1340,168,7,71,0,0,0,7,14,0,0,7
4: South Australia,41750: Elliston (DC),65,0,0,3,0,0,0,0,16,0,7,0
4: South Australia,41830: Flinders Ranges (DC),149,21,0,9,0,0,0,3,3,0,0,0
4: South Australia,41960: Franklin Harbour (DC),108,13,0,0,0,0,0,4,7,0,0,0
4: South Australia,40250: Anangu Pitjantjatjara (AC),456,40,0,0,0,0,0,0,0,0,0,0
4: South Australia,40220: Alexandrina (DC),1855,118,25,118,0,0,0,4,12,0,9,14
4: South Australia,40120: Adelaide Hills (DC),1393,98,14,51,0,0,0,3,6,0,5,15
4: South Australia,40070: Adelaide (C),306,588,1128,495,677,2024,4,0,0,0,39,38
