State,11: Separate house,"21: Semi-detached, row or terrace house, townhouse etc. with : One storey","22: Semi-detached, row or terrace house, townhouse etc. with : Two or more storeys",31: Flat or apartment: In a one or two storey block,32: Flat or apartment: In a three storey block,33: Flat or apartment: In a four or more storey block,34: Flat or apartment: Attached to a house,91: Caravan,"92: Cabin, houseboat","93: Improved home, tent, sleepers out","94: House or flat attached to a shop, office, etc.",Z: Not stated
1: New South Wales,2696.389312977099,477.12213740458014,590.1297709923664,698.1984732824427,779.3587786259542,1024.679389312977,12.17557251908397,14.312977099236642,18.801526717557252,3.198473282442748,46.778625954198475,46.404580152671755
2: Victoria,3768.3456790123455,1102.3950617283951,569.1975308641976,809.604938271605,428.1975308641975,827.2962962962963,2.7901234567901234,9.530864197530864,21.91358024691358,0.7407407407407407,36.51851851851852,39.098765432098766
3: Queensland,4218.696202531645,521.379746835443,803.9620253164557,690.7594936708861,454.2025316455696,470.6455696202532,3.2151898734177213,40.177215189873415,29.60759493670886,6.974683544303797,14.341772151898734,46.69620253164557
4: South Australia,1455.9027777777778,537.7222222222222,149.40277777777777,307.7638888888889,42.43055555555556,49.166666666666664,0.6944444444444444,5.583333333333333,7.097222222222222,1.8333333333333333,5.138888888888889,12.63888888888889
5: Western Australia,1132.7246376811595,326.54347826086956,102.41304347826087,94.21014492753623,58.927536231884055,77.26086956521739,0.21739130434782608,10.166666666666666,3.63768115942029,2.760869565217391,3.2246376811594204,8.543478260869565
6: Tasmania,1283.3666666666666,188.63333333333333,61.2,224.63333333333333,26.233333333333334,21.9,4.133333333333334,2.6333333333333333,4.666666666666667,0.3,7.833333333333333,8.066666666666666
7: Northern Territory,984.6315789473684,192.57894736842104,94.94736842105263,191.89473684210526,78.21052631578948,181.1578947368421,1.0,32.63157894736842,10.736842105263158,9.368421052631579,12.789473684210526,17.526315789473685
8: Australian Capital Territory,9708.0,3035.0,2865.5,1661.0,2551.0,3096.0,73.0,2.0,28.5,0.0,9.5,85.5
