X,Y,OBJECTID,ROAD,ROAD_NAME,COMMON_USAGE_NAME,START_SLK,END_SLK,CWY,START_TRUE_DIST,END_TRUE_DIST,NETWORK_TYPE,XSP,RA_NO,RA_NAME,LG_NO,LG_NAME,REST_AREA_TYPE,STAY_24_HOUR,REST_AREA_NAME,OWNERSHIP,INFORMATION_BOARD,SCENIC_LOOKOUT,COMMEMORATION_WAY,SURFACE,SURFACE_TYPE,SURFACE_AREA,CONSTRUCTED_SHELTER,NATURAL_SHADE,LIGHTING_PRESENT,NUMBER_OF_BINS,NUMBER_OF_TOILETS,ACCESSIBLE_TOILETS,EFFLUENT_DUMP_SITE,NUMBER_OF_TABLES,ACCESSIBLE_TABLES,ROUTE_NE_ID
119.6553975,-31.29570241,126812,H005,Great Eastern Hwy,Great Eastern Hwy,399.02,399.02,Single,398.96,398.96,State Road,Right,5,Goldfields - Esperance,611,Yilgarn,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,Yes,,0,0,No,No,0,No,247651
114.6334268,-28.59539957,126813,H007,North West Coastal Hwy,North West Coastal Hwy,22.79,22.79,Single,22.81,22.81,State Road,Right,14,Mid West-Gascoyne,516,Chapman Valley,Heavy Vehicle Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,2160,No,No,,2,0,No,No,0,No,247803
116.7339097,-32.39659458,126814,H052,Brookton Hwy,Brookton Hwy,83.44,83.44,Single,83.57,83.57,State Road,Right,8,Wheatbelt,402,Brookton,Heavy Vehicle Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,No,Yes,,2,0,No,No,1,No,247583
118.371657,-33.1075317,126815,M037,Collie Lake King,Dumbleyung Lake Grace Rd,265.86,265.86,Single,230.91,230.91,State Road,Right,8,Wheatbelt,311,Lake Grace,Minor Rest Area,No,,Other,Yes,Yes,,Surfaced,Single Seal,,No,Yes,,1,0,No,No,2,Yes,247616
116.2883194,-32.82120732,126816,M053,Pinjarra Williams,Pinjarra Williams Rd,49.66,49.66,Single,49.64,49.64,State Road,Right,2,South West,214,Boddington,Minor Rest Area,No,,Main Roads,No,No,,,,,No,Yes,,0,0,No,No,0,No,247817
119.7377605,-33.24385058,126817,H052,Brookton Hwy,Newdegate Ravensthorpe Rd,454.93,454.93,Single,451.52,451.52,State Road,Right,8,Wheatbelt,311,Lake Grace,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,1,0,No,No,0,No,247583
116.7737917,-31.04258469,126818,M032,Northam Pithara,Northam Pithara Rd,75.41,75.41,Single,75.08,75.08,State Road,Left,8,Wheatbelt,408,Goomalling,Heavy Vehicle Rest Area,No,,Main Roads,No,No,,Unsurfaced,,800,No,Yes,,1,0,No,No,1,No,247805
118.4518963,-33.10076118,126819,M037,Collie Lake King,Stubbs St,273.56,273.56,Single,238.61,238.61,State Road,Right,8,Wheatbelt,311,Lake Grace,Minor Rest Area,No,Apex,Other,Yes,No,,Unsurfaced,,,No,Yes,,1,0,No,No,1,Yes,247616
116.8823023,-33.03501418,126820,H001,Albany Hwy,Albany Hwy,159.14,159.14,Single,159.19,159.19,State Road,Left,8,Wheatbelt,430,Williams,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,Yes,,0,0,No,No,0,No,247561
113.9816853,-23.71249599,126821,H048,Minilya Exmouth Rd,Minilya Exmouth Rd,5.7,5.7,Single,5.7,5.7,State Road,Left,14,Mid West-Gascoyne,803,Carnarvon,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,1500,No,No,,1,0,No,No,0,No,247789
114.6957804,-27.84722587,126822,H007,North West Coastal Hwy,North West Coastal Hwy,111.77,111.77,Single,111.74,111.74,State Road,Left,14,Mid West-Gascoyne,513,Northampton,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,2250,No,No,,2,0,No,No,0,No,247803
116.2361582,-28.40990542,126823,H050,Geraldton Mt Magnet Rd,Geraldton Mt Magnet Rd,169.37,169.37,Single,169.71,169.71,State Road,Right,14,Mid West-Gascoyne,707,Yalgoo,Heavy Vehicle Rest Area,No,,Main Roads,No,No,,Unsurfaced,,2145,No,No,,1,0,No,No,0,No,247642
118.1332643,-31.52492834,126824,H005,Great Eastern Hwy,Great Eastern Hwy,242.48,242.48,Single,243.11,243.11,State Road,Left,8,Wheatbelt,414,Merredin,Heavy Vehicle Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,400,No,Yes,,2,0,No,No,1,No,247651
118.834823,-21.92619916,126825,H006,Great Northern Hwy,Great Northern Hwy,1412.1,1412.1,Single,1404.99,1404.99,State Road,Left,11,Pilbara,813,Port Hedland (T),Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,No,No,,2,0,No,No,0,No,247653
116.4349443,-31.88036151,126826,M010,Chidlow York,Great Southern Hwy,11.35,11.35,Single,11.35,11.35,State Road,Left,8,Wheatbelt,421,Northam,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,2500,No,Yes,,3,0,No,No,2,No,247611
117.1135693,-32.33276367,126827,H052,Brookton Hwy,Brookton-Corrigin Rd,122.37,122.37,Single,121.6,121.6,State Road,Right,8,Wheatbelt,402,Brookton,Heavy Vehicle Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,,No,No,,4,0,No,No,1,No,247583
118.3812627,-31.45103417,126828,H005,Great Eastern Hwy,Great Eastern Hwy,268.63,268.63,Single,269.05,269.05,State Road,Right,8,Wheatbelt,414,Merredin,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,450,No,Yes,,2,0,No,No,0,No,247651
115.3991873,-30.22426655,126829,H004,Brand Hwy,Brand Hwy,174.9,174.9,Single,172.19,172.19,State Road,Left,14,Mid West-Gascoyne,504,Dandaragan,Minor Rest Area,No,,Main Roads,Yes,No,,Unsurfaced,,500,No,No,,1,0,No,No,0,No,247578
114.5258158,-26.5786768,126830,H007,North West Coastal Hwy,North West Coastal Hwy,261.58,261.58,Single,259.84,259.84,State Road,Right,14,Mid West-Gascoyne,804,Shark Bay,Minor Rest Area,No,Pannawonica Turnoff,Main Roads,No,No,,Surfaced,Single Seal,2480,No,No,,3,,No,No,,No,247803
118.2963754,-34.76469951,126831,H008,South Coast Hwy,South Coast Hwy,51.64,51.64,Single,51.64,51.64,State Road,Left,1,Great Southern,302,Albany (C),Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,Yes,,1,0,No,No,0,No,247842
118.7498849,-34.37046843,126832,H008,South Coast Hwy,South Coast Hwy,116.08,116.08,Single,115.92,115.92,State Road,Left,1,Great Southern,318,Jerramungup,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,1,0,No,No,0,No,247842
114.3444251,-23.33778775,126833,H007,North West Coastal Hwy,North West Coastal Hwy,679.59,679.59,Single,675.39,675.39,State Road,Right,14,Mid West-Gascoyne,803,Carnarvon,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,4340,No,No,,5,0,No,No,0,No,247803
121.199242,-28.51970733,126834,H049,Goldfields Hwy,Goldfields Hwy,353.68,353.68,Single,353.41,353.41,State Road,Left,5,Goldfields - Esperance,608,Leonora,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,1,0,No,No,0,No,247645
116.0400525,-30.22332842,126835,M028,Midlands,Midlands Rd,71.72,71.72,Single,71.48,71.48,State Road,Right,8,Wheatbelt,510,Moora,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,700,No,Yes,,2,0,No,No,0,No,247785
114.5087451,-22.88154019,126836,M007,Burkett,Burkett Rd,15.47,15.47,Single,15.47,15.47,State Road,Left,14,Mid West-Gascoyne,806,Exmouth,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,1400,No,No,,2,0,No,No,0,No,247587
127.9011509,-31.8697706,126837,H003,Eyre Hwy,Eyre Hwy,612,612,Single,611.53,611.53,State Road,Right,5,Goldfields - Esperance,603,Dundas,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,2,0,No,No,0,No,247631
116.153664,-31.32666022,126838,H006,Great Northern Hwy,Great Northern Hwy,72.59,72.59,Single,68.51,68.51,State Road,Right,8,Wheatbelt,502,Chittering,Heavy Vehicle Rest Area,No,,Main Roads,No,No,,Surfaced,Asphalt Intersection Mix,1000,Yes,Yes,,2,0,No,No,2,No,247653
115.57283,-33.51650165,126839,H043,Bussell Hwy,Bussell Hwy,21.2,21.2,Left,21.13,21.13,State Road,Left,2,South West,206,Capel,Major Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,,Yes,Yes,,2,0,No,No,1,No,247595
