Scientific Name,Common Name,Threatened status,Kingdom,Class,Family,Genus,Species,Species Author,Profile,Date extracted
Petrogale concinna monastria,Nabarlek (Kimberley),Endangered,Animalia,Mammalia,Macropodidae,Petrogale,concinna,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87607,2020-Oct-12
Petrogale xanthopus celeris,Yellow-footed Rock-wallaby (central-western Queensland),Vulnerable,Animalia,Mammalia,Macropodidae,Petrogale,xanthopus,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87608,2020-Oct-12
Pteropus natalis,"Christmas Island Flying-fox, Christmas Island Fruit-bat",Critically Endangered,Animalia,Mammalia,Pteropodidae,Pteropus,natalis,"Thomas, 1887",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87611,2020-Oct-12
Mastacomys fuscus mordicus,"Broad-toothed Rat (mainland), Tooarrana",Vulnerable,Animalia,Mammalia,Muridae,Mastacomys,fuscus,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87617,2020-Oct-12
Mesembriomys gouldii gouldii,"Black-footed Tree-rat (Kimberley and mainland Northern Territory), Djintamoonga, Manbul",Endangered,Animalia,Mammalia,Muridae,Mesembriomys,gouldii,"(J.E. Gray, 1843)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87618,2020-Oct-12
Mesembriomys gouldii melvillensis,Black-footed Tree-rat (Melville Island),Vulnerable,Animalia,Mammalia,Muridae,Mesembriomys,gouldii,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87619,2020-Oct-12
Mesembriomys gouldii rattoides,"Black-footed Tree-rat (north Queensland), Shaggy Rabbit-rat",Vulnerable,Animalia,Mammalia,Muridae,Mesembriomys,gouldii,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87620,2020-Oct-12
Sminthopsis griseoventer aitkeni,Kangaroo Island Dunnart,Endangered,Animalia,Mammalia,Dasyuridae,Sminthopsis,griseoventer,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87634,2020-Oct-12
Rhinolophus robertsi,"Large-eared Horseshoe Bat, Greater Large-eared Horseshoe Bat",Vulnerable,Animalia,Mammalia,Rhinolophidae,Rhinolophus,robertsi,"Tate, 1952",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87639,2020-Oct-12
Miniopterus orianae bassanii,Southern Bent-wing Bat,Critically Endangered,Animalia,Mammalia,Miniopteridae,Miniopterus,orianae,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87645,2020-Oct-12
Thelymitra hygrophila,Blue Star Sun-orchid,Critically Endangered,Plantae,Liliopsida,Orchidaceae,Thelymitra,hygrophila,R.J.Bates,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87679,2020-Oct-12
Hypotaenidia sylvestris,Lord Howe Woodhen,Endangered,Animalia,Aves,Rallidae,Hypotaenidia,sylvestris,"(Sclater, 1869)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87732,2020-Oct-12
Litoria kroombitensis,Kroombit Treefrog,Critically Endangered,Animalia,Amphibia,Hylidae,Litoria,kroombitensis,"Hoskin, Hines, Meyer, Clarke  Cunningham, 2013",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87765,2020-Oct-12
Trioza barrettae,Banksia brownii plant louse,Endangered,Animalia,Insecta,Triozidae,Trioza,barrettae,"Taylor  Moir, 2014",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87805,2020-Oct-12
Androcalva bivillosa,Straggling Androcalva,Critically Endangered,Plantae,Magnoliopsida,Malvaceae,Androcalva,bivillosa,C.F.Wilkins,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87807,2020-Oct-12
Austrostipa bronwenae,-,Endangered,Plantae,Liliopsida,Poaceae,Austrostipa,bronwenae,A.R.Williams,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87808,2020-Oct-12
Austrostipa jacobsiana,-,Critically Endangered,Plantae,Liliopsida,Poaceae,Austrostipa,jacobsiana,A.R.Williams,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87809,2020-Oct-12
Leucopogon nitidus,-,Endangered,Plantae,Magnoliopsida,Ericaceae,Leucopogon,nitidus,Hislop,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87812,2020-Oct-12
Stylidium applanatum,Flat-leaved Triggerplant,Critically Endangered,Plantae,Magnoliopsida,Stylidiaceae,Stylidium,applanatum,Wege,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87813,2020-Oct-12
Chamelaucium sp. S coastal plain (R.D.Royce 4872),Royce's Waxflower,Vulnerable,Plantae,Magnoliopsida,Myrtaceae,Chamelaucium,sp. S coastal plain (R.D.Royce 4872),WA Herbarium,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87814,2020-Oct-12
Eucalyptus x balanites,"Cadda Road Mallee, Cadda Mallee",Endangered,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,x balanites,Grayling  Brooker,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87816,2020-Oct-12
Eucalyptus x phylacis,Meelup Mallee,Endangered,Plantae,Magnoliopsida,Myrtaceae,Eucalyptus,x phylacis,L.A.S.Johnson  K.D.Hill,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87817,2020-Oct-12
Tympanocryptis condaminensis,Condamine Earless Dragon,Endangered,Animalia,Reptilia,Agamidae,Tympanocryptis,condaminensis,"Melville, Smith, Hobson, Hunjan  Shoo, 2014",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87888,2020-Oct-12
Anthosachne kingiana subsp. kingiana,Phillip Island Wheat Grass,Critically Endangered,Plantae,Liliopsida,Poaceae,Anthosachne,kingiana,(Endl.) Govaerts,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87946,2020-Oct-12
Lagorchestes hirsutus Central Australian subspecies,"Mala, Rufous Hare-Wallaby (Central Australia)",Endangered,Animalia,Mammalia,Macropodidae,Lagorchestes,hirsutus,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88019,2020-Oct-12
Perameles gunnii Victorian subspecies,Eastern Barred Bandicoot (Mainland),Endangered,Animalia,Mammalia,Peramelidae,Perameles,gunnii Victorian subspecies,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88020,2020-Oct-12
Bettongia lesueur Barrow and Boodie Islands subspecies,"Boodie, Burrowing Bettong (Barrow and Boodie Islands)",Vulnerable,Animalia,Mammalia,Potoroidae,Bettongia,lesueur,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88021,2020-Oct-12
Petaurus australis Wet Tropics subspecies,"Yellow-bellied Glider (Wet Tropics), Fluffy Glider",Endangered,Animalia,Mammalia,Petauridae,Petaurus,australis Wet Tropics subspecies,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88022,2020-Oct-12
Argynnis hyperbius inconstans,Australian Fritillary,Critically Endangered,Animalia,Insecta,Nymphalidae,Argynnis,hyperbius,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88056,2020-Oct-12
Caladenia hopperiana,"Quindanning Spider Orchid, Boddington Spider Orchid",Endangered,Plantae,Liliopsida,Orchidaceae,Caladenia,hopperiana,"A.P.Br.  G.Brockman,",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88195,2020-Oct-12
Caladenia leucochila,Collie Spider Orchid,Endangered,Plantae,Liliopsida,Orchidaceae,Caladenia,leucochila,"A.P.Br., R.Phillips  G.Brockman,",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88196,2020-Oct-12
Kelleria bogongensis,Kelleria,Vulnerable,Plantae,Magnoliopsida,Thymelaeaceae,Kelleria,bogongensis,C.E.Marks,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88203,2020-Oct-12
Antechinus arktos,Black-tailed Antechinus,Endangered,Animalia,Mammalia,Dasyuridae,Antechinus,arktos,"Baker, Mutton, Hines  Van Dyck, 2014",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88217,2020-Oct-12
