Type,Combined_LP100KM,Make_Model
Large Cars,8.0872,HYUNDAI MOTOR COMPANY_Sonata SE
Large Cars,10.9982,Jaguar_XJ
Large Cars,13.3054,Jaguar_XJ
Large Cars,11.7712,Jaguar_XJ AWD
Large Cars,11.0842,Jaguar_XJL
Large Cars,13.3054,Jaguar_XJL
Large Cars,11.9184,Jaguar_XJL AWD
Large Cars,10.2808,KIA MOTORS CORPORATION_Cadenza
Large Cars,11.2738,KIA MOTORS CORPORATION_K900
Large Cars,7.7058,KIA MOTORS CORPORATION_Optima
Large Cars,9.7195,KIA MOTORS CORPORATION_Optima
Large Cars,8.5616,KIA MOTORS CORPORATION_Optima
Large Cars,8.1714,KIA MOTORS CORPORATION_Optima FE
Large Cars,11.9062,Lincoln_CONTINENTAL AWD
Large Cars,12.3601,Lincoln_CONTINENTAL AWD
Large Cars,12.2515,Lincoln_CONTINENTAL AWD
Large Cars,11.2255,Lincoln_CONTINENTAL FWD
Large Cars,11.6669,Lincoln_CONTINENTAL FWD
Large Cars,12.806,MASERATI_QUATTROPORTE S
Large Cars,12.8453,MASERATI_QUATTROPORTE SQ4 V6
Large Cars,13.6808,MASERATI_QUATTROPORTE V8
Large Cars,11.746,Mercedes-Benz_AMG S 63 4MATIC
Large Cars,15.1494,Mercedes-Benz_AMG S 65
Large Cars,15.1103,Mercedes-Benz_Maybach S 650
Large Cars,10.7047,Mercedes-Benz_S 450
Large Cars,10.8328,Mercedes-Benz_S 450 4MATIC
Large Cars,11.4686,Mercedes-Benz_S 560
Large Cars,11.3329,Mercedes-Benz_S 560 4MATIC
Large Cars,12.1164,Mercedes-Benz_S 560 4MATIC Maybach
Large Cars,10.5394,Porsche_Panamera 4
Large Cars,10.5394,Porsche_Panamera 4 Executive
Large Cars,11.2007,Porsche_Panamera 4S
Large Cars,11.2007,Porsche_Panamera 4S Executive
Large Cars,12.4607,Porsche_Panamera GTS
Large Cars,12.9158,Porsche_Panamera GTS ST
Large Cars,11.2089,Porsche_Panamera Turbo
Large Cars,11.2089,Porsche_Panamera Turbo Executive
Large Cars,11.936,Porsche_Panamera Turbo ST
Large Cars,16.9323,Rolls-Royce Motor Cars Limited_Ghost
Large Cars,16.9323,Rolls-Royce Motor Cars Limited_Ghost EWB
Large Cars,16.3446,Rolls-Royce Motor Cars Limited_Phantom
Large Cars,16.3446,Rolls-Royce Motor Cars Limited_Phantom EWB
Large Cars,9.3202,Volkswagen_Arteon
Large Cars,10.4319,Volkswagen_Arteon 4Motion
Small Station Wagons,8.7801,BMW_330i xDrive Sports Wagon
Small Station Wagons,9.647,Buick_REGAL TOUR X AWD
Small Station Wagons,8.1593,Chevrolet_SONIC 5
Small Station Wagons,7.9979,Chevrolet_SONIC 5
Small Station Wagons,9.4319,FIAT_500L
Small Station Wagons,6.4501,Honda_FIT
Small Station Wagons,7.1277,Honda_FIT
Small Station Wagons,7.4738,Honda_FIT
Small Station Wagons,8.236,Honda_HR-V AWD
Small Station Wagons,8.3154,Honda_HR-V AWD
Small Station Wagons,7.7757,Honda_HR-V FWD
Small Station Wagons,7.7757,Honda_HR-V FWD
Small Station Wagons,4.83,KIA MOTORS CORPORATION_Niro
Small Station Wagons,4.666,KIA MOTORS CORPORATION_Niro FE
Small Station Wagons,5.4479,KIA MOTORS CORPORATION_Niro Touring
Small Station Wagons,8.4816,KIA MOTORS CORPORATION_Soul
Small Station Wagons,8.3841,KIA MOTORS CORPORATION_Soul
Small Station Wagons,8.8331,KIA MOTORS CORPORATION_Soul
Small Station Wagons,8.7785,KIA MOTORS CORPORATION_Soul
Small Station Wagons,8.4005,NISSAN_Rogue Sport
Small Station Wagons,8.7117,NISSAN_Rogue Sport AWD
Small Station Wagons,7.5305,Subaru_IMPREZA 5-Door
Small Station Wagons,8.9062,Subaru_IMPREZA 5-Door
Small Station Wagons,7.776,Subaru_IMPREZA 5-Door SPORT
Small Station Wagons,9.3085,Subaru_IMPREZA 5-Door SPORT
Small Station Wagons,9.4502,Volkswagen_Golf Alltrack
Small Station Wagons,9.612,Volkswagen_Golf Alltrack
Small Station Wagons,7.6376,Volkswagen_Golf SportWagen
Small Station Wagons,7.2898,Volkswagen_Golf SportWagen
Small Station Wagons,9.612,Volkswagen_Golf SportWagen 4Motion
Small Station Wagons,9.3399,Volkswagen_Golf SportWagen 4Motion
Small Station Wagons,9.5522,"Volvo Cars of North America, LLC_V60 AWD"
Small Station Wagons,9.3377,"Volvo Cars of North America, LLC_V60 CC AWD"
Small Station Wagons,8.4075,"Volvo Cars of North America, LLC_V60 FWD"
Midsize Station Wagons,11.3201,Jaguar_XF Sportbrake AWD
Midsize Station Wagons,12.656,Mercedes-Benz_AMG E 63 S 4MATIC (Station Wagon
Midsize Station Wagons,9.5911,Mercedes-Benz_AMG GLA 45 4MATIC
Midsize Station Wagons,10.7839,Mercedes-Benz_E 450 4MATIC (station wagon)
Midsize Station Wagons,10.2599,NISSAN_MURANO AWD
Midsize Station Wagons,10.1066,NISSAN_MURANO FWD
Midsize Station Wagons,16.3446,Rolls-Royce Motor Cars Limited_Cullinan
Midsize Station Wagons,9.5522,"Volvo Cars of North America, LLC_V90 AWD"
Midsize Station Wagons,9.8856,"Volvo Cars of North America, LLC_V90 CC AWD"
Midsize Station Wagons,9.3745,"Volvo Cars of North America, LLC_V90 CC AWD"
Midsize Station Wagons,8.7117,"Volvo Cars of North America, LLC_V90 FWD"
Small Pick-up Trucks 2WD,10.7633,Chevrolet_COLORADO 2WD
Small Pick-up Trucks 2WD,10.6794,Chevrolet_COLORADO 2WD
Small Pick-up Trucks 2WD,10.0542,Chevrolet_COLORADO 2WD
Small Pick-up Trucks 2WD,11.6604,Chevrolet_COLORADO 2WD
Small Pick-up Trucks 2WD,10.7633,GMC_CANYON 2WD
Small Pick-up Trucks 2WD,10.6794,GMC_CANYON 2WD
Small Pick-up Trucks 2WD,10.0542,GMC_CANYON 2WD
Small Pick-up Trucks 2WD,11.6604,GMC_CANYON 2WD
Small Pick-up Trucks 2WD,10.9269,Honda_RIDGELINE FWD
Small Pick-up Trucks 2WD,12.319,NISSAN_FRONTIER 2WD
Small Pick-up Trucks 2WD,11.1448,NISSAN_FRONTIER 2WD
Small Pick-up Trucks 2WD,12.6539,NISSAN_FRONTIER 2WD
Small Pick-up Trucks 2WD,12.7016,NISSAN_FRONTIER 2WD
Small Pick-up Trucks 2WD,13.028,NISSAN_FRONTIER 2WD FFV
Small Pick-up Trucks 2WD,11.158,TOYOTA_TACOMA 2WD
Small Pick-up Trucks 2WD,11.3929,TOYOTA_TACOMA 2WD
Small Pick-up Trucks 4WD,11.3532,Chevrolet_COLORADO 4WD
Small Pick-up Trucks 4WD,10.52,Chevrolet_COLORADO 4WD
Small Pick-up Trucks 4WD,12.1749,Chevrolet_COLORADO 4WD
Small Pick-up Trucks 4WD,12.1145,Chevrolet_COLORADO ZR2 4WD
Small Pick-up Trucks 4WD,14.0855,Chevrolet_COLORADO ZR2 4WD
Small Pick-up Trucks 4WD,11.3532,GMC_CANYON 4WD
Small Pick-up Trucks 4WD,10.52,GMC_CANYON 4WD
Small Pick-up Trucks 4WD,12.1749,GMC_CANYON 4WD
Small Pick-up Trucks 4WD,13.6977,NISSAN_FRONTIER 4WD
Small Pick-up Trucks 4WD,13.4333,NISSAN_FRONTIER 4WD
Small Pick-up Trucks 4WD,13.7375,NISSAN_FRONTIER 4WD FFV
Small Pick-up Trucks 4WD,11.7281,TOYOTA_TACOMA 4WD
Small Pick-up Trucks 4WD,11.861,TOYOTA_TACOMA 4WD
Small Pick-up Trucks 4WD,12.7207,TOYOTA_TACOMA 4WD
Small Pick-up Trucks 4WD,12.8472,TOYOTA_TACOMA 4WD D-CAB V6 MT OFF-ROAD
Small Pick-up Trucks 4WD,11.861,TOYOTA_TACOMA 4WD TRD PRO
Small Pick-up Trucks 4WD,12.8472,TOYOTA_TACOMA 4WD TRD PRO
Standard Pick-up Trucks 2WD,11.1477,Chevrolet_C10 SILVERADO 2WD
Standard Pick-up Trucks 2WD,11.7336,Chevrolet_C10 SILVERADO 2WD
Standard Pick-up Trucks 2WD,13.4572,Chevrolet_C10 SILVERADO 2WD
Standard Pick-up Trucks 2WD,13.984,Chevrolet_C10 SILVERADO 2WD
Standard Pick-up Trucks 2WD,13.8758,Chevrolet_C10 SILVERADO 2WD
Standard Pick-up Trucks 2WD,12.0651,Chevrolet_C10 SILVERADO 2WD
Standard Pick-up Trucks 2WD,12.3857,Chevrolet_C10 SILVERADO 2WD
Standard Pick-up Trucks 2WD,13.4879,Chevrolet_C15 SILVERADO LD 2WD
Standard Pick-up Trucks 2WD,11.2007,Ford_F150 2.7L 2WD GVWR>6649 LBS
Standard Pick-up Trucks 2WD,11.2007,Ford_F150 2WD BASE PAYLOAD LT TIRE
Standard Pick-up Trucks 2WD,9.8006,Ford_F150 2WD BASE PAYLOAD LT TIRE
Standard Pick-up Trucks 2WD,12.3797,Ford_F150 2WD BASE PAYLOAD LT TIRE
Standard Pick-up Trucks 2WD,11.2007,Ford_F150 2WD FFV BASE PAYLOAD LT
Standard Pick-up Trucks 2WD,13.0675,Ford_F150 2WD FFV BASE PAYLOAD LT
Standard Pick-up Trucks 2WD,12.3797,Ford_F150 3.5L 2WD GVWR>7599 LBS
Standard Pick-up Trucks 2WD,13.8362,Ford_F150 5.0L 2WD FFV GVWR>7599 LBS
Standard Pick-up Trucks 2WD,10.5615,Ford_F150 PICKUP 2WD
Standard Pick-up Trucks 2WD,9.5319,Ford_F150 PICKUP 2WD
Standard Pick-up Trucks 2WD,11.3206,Ford_F150 PICKUP 2WD
Standard Pick-up Trucks 2WD,10.9059,Ford_F150 PICKUP 2WD FFV
Standard Pick-up Trucks 2WD,12.2492,Ford_F150 PICKUP 2WD FFV
Standard Pick-up Trucks 2WD,12.2391,Ford_F150 PICKUP 2WD LIMITED
Standard Pick-up Trucks 2WD,10.0843,Ford_RANGER 2WD
Standard Pick-up Trucks 2WD,11.1477,GMC_C10 SIERRA 2WD
Standard Pick-up Trucks 2WD,11.7336,GMC_C10 SIERRA 2WD
Standard Pick-up Trucks 2WD,13.4621,GMC_C10 SIERRA 2WD
Standard Pick-up Trucks 2WD,13.984,GMC_C10 SIERRA 2WD
Standard Pick-up Trucks 2WD,13.8758,GMC_C10 SIERRA 2WD
Standard Pick-up Trucks 2WD,12.0651,GMC_C10 SIERRA 2WD
Standard Pick-up Trucks 2WD,12.4844,GMC_C10 SIERRA 2WD
Standard Pick-up Trucks 2WD,13.4879,GMC_C15 SIERRA LTD 2WD
Standard Pick-up Trucks 2WD,13.3338,NISSAN_TITAN 2WD
Standard Pick-up Trucks 2WD,10.7885,RAM_1500 4X2
Standard Pick-up Trucks 2WD,12.3709,RAM_1500 4X2
Standard Pick-up Trucks 2WD,13.622,RAM_1500 4X2
Standard Pick-up Trucks 2WD,11.9288,RAM_1500 Classic 4X2
Standard Pick-up Trucks 2WD,13.5409,RAM_1500 Classic 4X2
Standard Pick-up Trucks 2WD,10.4327,RAM_1500 HFE 4X2
Standard Pick-up Trucks 2WD,19.3274,"Roush Industries, Inc._F150 Pickup 2WD"
Standard Pick-up Trucks 2WD,14.7009,TOYOTA_TUNDRA 2WD
Standard Pick-up Trucks 2WD,15.777,TOYOTA_TUNDRA 2WD
Standard Pick-up Trucks 4WD,11.7336,Chevrolet_K10 SILVERADO 4WD
Standard Pick-up Trucks 4WD,12.2872,Chevrolet_K10 SILVERADO 4WD
Standard Pick-up Trucks 4WD,14.0413,Chevrolet_K10 SILVERADO 4WD
Standard Pick-up Trucks 4WD,14.4615,Chevrolet_K10 SILVERADO 4WD
Standard Pick-up Trucks 4WD,13.6756,Chevrolet_K10 SILVERADO 4WD
Standard Pick-up Trucks 4WD,13.0125,Chevrolet_K10 SILVERADO 4WD
Standard Pick-up Trucks 4WD,13.6602,Chevrolet_K10 SILVERADO 4WD
Standard Pick-up Trucks 4WD,14.7883,Chevrolet_K10 SILVERADO 4WD TRAILBOSS
Standard Pick-up Trucks 4WD,14.7009,Chevrolet_K10 SILVERADO 4WD TRAILBOSS
Standard Pick-up Trucks 4WD,13.4745,Chevrolet_K10 SILVERADO 4WD TRAILBOSS
Standard Pick-up Trucks 4WD,13.6577,Chevrolet_K15 SILVERADO LD 4WD
Standard Pick-up Trucks 4WD,11.7608,Ford_F150 2.7L 4WD GVWR>6799 LBS
Standard Pick-up Trucks 4WD,13.0675,Ford_F150 3.5L 4WD GVWR>7599 LBS
Standard Pick-up Trucks 4WD,11.7608,Ford_F150 4WD BASE PAYLOAD LT TIRE
Standard Pick-up Trucks 4WD,10.6854,Ford_F150 4WD BASE PAYLOAD LT TIRE
Standard Pick-up Trucks 4WD,13.0675,Ford_F150 4WD BASE PAYLOAD LT TIRE
Standard Pick-up Trucks 4WD,12.3797,Ford_F150 4WD FFV BASE PAYLOAD LT
Standard Pick-up Trucks 4WD,13.8362,Ford_F150 4WD FFV BASE PAYLOAD LT
Standard Pick-up Trucks 4WD,14.7009,Ford_F150 5.0L 4WD FFV GVWR>7599 LBS
Standard Pick-up Trucks 4WD,11.2136,Ford_F150 PICKUP 4WD
Standard Pick-up Trucks 4WD,10.6854,Ford_F150 PICKUP 4WD
Standard Pick-up Trucks 4WD,12.4956,Ford_F150 PICKUP 4WD
Standard Pick-up Trucks 4WD,11.6237,Ford_F150 PICKUP 4WD FFV
Standard Pick-up Trucks 4WD,13.1817,Ford_F150 PICKUP 4WD FFV
Standard Pick-up Trucks 4WD,12.4652,Ford_F150 PICKUP 4WD LIMITED
Standard Pick-up Trucks 4WD,9.6901,Ford_F150 PICKUP 4WD XL/XLT
Standard Pick-up Trucks 4WD,14.3358,Ford_F150 RAPTOR 4WD
Standard Pick-up Trucks 4WD,10.6931,Ford_RANGER 4WD
Standard Pick-up Trucks 4WD,11.8216,GMC_K10 SIERRA 4WD
Standard Pick-up Trucks 4WD,12.5973,GMC_K10 SIERRA 4WD
Standard Pick-up Trucks 4WD,14.0413,GMC_K10 SIERRA 4WD
Standard Pick-up Trucks 4WD,14.4297,GMC_K10 SIERRA 4WD
Standard Pick-up Trucks 4WD,14.0465,GMC_K10 SIERRA 4WD
Standard Pick-up Trucks 4WD,13.4745,GMC_K10 SIERRA 4WD
Standard Pick-up Trucks 4WD,13.8963,GMC_K10 SIERRA 4WD
Standard Pick-up Trucks 4WD,13.4745,GMC_K10 SIERRA 4WD AT4
Standard Pick-up Trucks 4WD,13.6329,GMC_K10 SIERRA 4WD AT4
Standard Pick-up Trucks 4WD,13.6577,GMC_K15 SIERRA LTD 4WD
Standard Pick-up Trucks 4WD,11.3154,Honda_RIDGELINE AWD
Standard Pick-up Trucks 4WD,13.3536,NISSAN_TITAN 4WD
Standard Pick-up Trucks 4WD,13.8529,NISSAN_TITAN 4WD PRO-4X
Standard Pick-up Trucks 4WD,11.0731,RAM_1500 4X4
Standard Pick-up Trucks 4WD,12.5212,RAM_1500 4X4
Standard Pick-up Trucks 4WD,13.8182,RAM_1500 4X4
Standard Pick-up Trucks 4WD,12.5757,RAM_1500 Classic 4X4
Standard Pick-up Trucks 4WD,13.9705,RAM_1500 Classic 4X4
Standard Pick-up Trucks 4WD,19.3274,"Roush Industries, Inc._F150 Pickup 4WD"
Standard Pick-up Trucks 4WD,14.837,TOYOTA_TUNDRA 4WD
Standard Pick-up Trucks 4WD,16.2577,TOYOTA_TUNDRA 4WD
Standard Pick-up Trucks 4WD,16.0928,TOYOTA_TUNDRA 4WD FFV
"Vans, Passenger Type",14.6074,Ford_Transit T150 Wagon
"Vans, Passenger Type",15.2213,Ford_Transit T150 Wagon
"Vans, Passenger Type",15.2225,Ford_TRANSIT T150 WAGON FFV
Special Purpose Vehicle 2WD,13.7422,Cadillac_XTS HEARSE
Special Purpose Vehicle 2WD,13.7422,Cadillac_XTS LIMO
Special Purpose Vehicle 2WD,12.8423,Ford_RANGER 2WD INCOMPLETE
Special Purpose Vehicle 2WD,10.5627,Ford_TRANSIT CONNECT USPS
Special Purpose Vehicle 2WD,9.3357,Ford_Transit Connect Van 2WD
Special Purpose Vehicle 2WD,10.5372,Ford_Transit Connect Van 2WD
Special Purpose Vehicle 2WD,9.3357,Ford_TRANSIT CONNECT VAN FFV
Special Purpose Vehicle 2WD,9.1625,Ford_TRANSIT CONNECT WAGON LWB FFV
Special Purpose Vehicle 2WD,9.1625,Ford_Transit Connect Wagon LWB FWD
Special Purpose Vehicle 2WD,10.5926,Ford_Transit Connect Wagon LWB FWD
Special Purpose Vehicle 2WD,10.6904,Mercedes-Benz_Metris (Cargo Van)
Special Purpose Vehicle 2WD,10.517,"Mercedes-Benz_Metris (Cargo Van, LWB)"
Special Purpose Vehicle 2WD,11.4075,Mercedes-Benz_Metris (Passenger Van)
Special Purpose Vehicle 2WD,9.3408,NISSAN_NV200 Cargo Van
Special Purpose Vehicle 2WD,9.7242,NISSAN_NV200 NYC Taxi
Special Purpose Vehicle 2WD,9.8923,RAM_Promaster City
Special Purpose Vehicle 4WD,14.4882,Lincoln_MKT HEARSE AWD
Special Purpose Vehicle 4WD,15.2149,Lincoln_MKT LIMO AWD
Special Purpose Vehicle 4WD,13.0675,Lincoln_MKT LIVERY AWD
Special Purpose Vehicle cab chassis,13.8362,Chevrolet_C10 SILVERADO 2WD CAB CHASSIS
Special Purpose Vehicle cab chassis,14.7009,Chevrolet_C10 SILVERADO 2WD CAB CHASSIS
Special Purpose Vehicle cab chassis,15.2404,Chevrolet_COLORADO CAB CHASSIS 2WD
Special Purpose Vehicle cab chassis,15.681,Chevrolet_K10 SILVERADO 4WD CAB CHASSIS
Special Purpose Vehicle cab chassis,15.681,Chevrolet_K10 SILVERADO 4WD CAB CHASSIS
Special Purpose Vehicle cab chassis,13.8362,GMC_C10 SIERRA 2WD CAB CHASSIS
Special Purpose Vehicle cab chassis,14.7009,GMC_C10 SIERRA 2WD CAB CHASSIS
Special Purpose Vehicle cab chassis,15.2404,GMC_CANYON CAB CHASSIS 2WD
Special Purpose Vehicle cab chassis,15.681,GMC_K10 SIERRA 4WD CAB CHASSIS
Special Purpose Vehicle cab chassis,15.681,GMC_K10 SIERRA 4WD CAB CHASSIS
"Special Purpose Vehicle, minivan 2WD",10.5737,Chrysler_Pacifica
"Special Purpose Vehicle, minivan 2WD",10.6065,Chrysler_Pacifica
"Special Purpose Vehicle, minivan 2WD",11.7949,Dodge_Grand Caravan
"Special Purpose Vehicle, minivan 2WD",11.7949,Dodge_Grand Caravan
"Special Purpose Vehicle, minivan 2WD",10.5227,Honda_ODYSSEY FWD
"Special Purpose Vehicle, minivan 2WD",10.7235,Honda_ODYSSEY FWD
"Special Purpose Vehicle, minivan 2WD",11.4619,KIA MOTORS CORPORATION_Sedona
"Special Purpose Vehicle, minivan 2WD",10.7866,TOYOTA_SIENNA
"Special Purpose Vehicle, minivan 4WD",11.6835,TOYOTA_SIENNA AWD
Small SUV 2WD,10.2267,Acura_MDX FWD
Small SUV 2WD,9.8006,Acura_RDX FWD
Small SUV 2WD,9.9504,Acura_RDX FWD A-SPEC
Small SUV 2WD,9.2873,ALFA ROMEO_Stelvio
Small SUV 2WD,8.7175,Buick_ENCORE
Small SUV 2WD,8.28,Buick_ENCORE
Small SUV 2WD,9.5256,Buick_ENVISION FWD
Small SUV 2WD,8.8811,Cadillac_XT4 FWD
Small SUV 2WD,10.7292,Cadillac_XT5
Small SUV 2WD,9.8917,Chevrolet_BLAZER FWD
Small SUV 2WD,10.6917,Chevrolet_BLAZER FWD
Small SUV 2WD,8.3468,Chevrolet_EQUINOX FWD
Small SUV 2WD,7.4065,Chevrolet_EQUINOX FWD
Small SUV 2WD,9.2725,Chevrolet_EQUINOX FWD
Small SUV 2WD,8.3957,Chevrolet_TRAX
Small SUV 2WD,11.1249,Dodge_Journey
Small SUV 2WD,12.0785,Dodge_Journey
Small SUV 2WD,8.3693,Ford_ECOSPORT FWD
Small SUV 2WD,9.5946,Ford_EDGE FWD
Small SUV 2WD,9.0014,Ford_ESCAPE FWD
Small SUV 2WD,9.5287,Ford_ESCAPE FWD
Small SUV 2WD,9.7399,Ford_ESCAPE FWD
Small SUV 2WD,9.7399,Ford_ESCAPE FWD FFV
Small SUV 2WD,8.4336,GMC_TERRAIN FWD
Small SUV 2WD,7.4065,GMC_TERRAIN FWD
Small SUV 2WD,9.8006,GMC_TERRAIN FWD
Small SUV 2WD,7.7527,Honda_CR-V FWD
Small SUV 2WD,8.2986,Honda_CR-V FWD
Small SUV 2WD,10.7567,Honda_PASSPORT FWD
Small SUV 2WD,10.5225,Honda_PILOT FWD
Small SUV 2WD,10.3609,Honda_PILOT FWD
Small SUV 2WD,7.9708,HYUNDAI MOTOR COMPANY_Kona FWD
Small SUV 2WD,7.8896,HYUNDAI MOTOR COMPANY_Kona FWD
Small SUV 2WD,10.8437,HYUNDAI MOTOR COMPANY_Santa Fe FWD
Small SUV 2WD,9.5599,HYUNDAI MOTOR COMPANY_Santa Fe FWD
Small SUV 2WD,11.4723,HYUNDAI MOTOR COMPANY_Santa Fe XL FWD
Small SUV 2WD,11.9365,HYUNDAI MOTOR COMPANY_Santa Fe XL Ultimate FWD
Small SUV 2WD,9.0846,HYUNDAI MOTOR COMPANY_Tucson FWD
Small SUV 2WD,9.5925,HYUNDAI MOTOR COMPANY_Tucson FWD
Small SUV 2WD,8.8576,INFINITI_QX50
Small SUV 2WD,10.5468,INFINITI_QX60 FWD
Small SUV 2WD,9.1207,Jeep_Cherokee FWD
Small SUV 2WD,9.327,Jeep_Cherokee FWD
Small SUV 2WD,10.2366,Jeep_Cherokee FWD
Small SUV 2WD,9.26,Jeep_Compass 4X2
Small SUV 2WD,8.9888,Jeep_Compass 4X2
Small SUV 2WD,8.7273,Jeep_Renegade 4x2
Small SUV 2WD,9.4568,Jeep_Renegade 4x2
Small SUV 2WD,9.5936,KIA MOTORS CORPORATION_Sorento FWD
Small SUV 2WD,10.93,KIA MOTORS CORPORATION_Sorento FWD
Small SUV 2WD,9.2716,KIA MOTORS CORPORATION_Sportage FE FWD
Small SUV 2WD,10.3744,KIA MOTORS CORPORATION_Sportage FWD
Small SUV 2WD,9.4304,KIA MOTORS CORPORATION_Sportage FWD
Small SUV 2WD,9.5581,LEXUS_NX 300
Small SUV 2WD,10.4011,LEXUS_RX 350
Small SUV 2WD,10.6948,LEXUS_RX 350L
Small SUV 2WD,10.3777,Lincoln_MKC  FWD
Small SUV 2WD,10.2267,Lincoln_NAUTILUS FWD
Small SUV 2WD,10.4592,Lincoln_NAUTILUS FWD
Small SUV 2WD,8.5386,MAZDA_CX-5 2WD
Small SUV 2WD,9.4244,MAZDA_CX-5 2WD
Small SUV 2WD,9.6336,MAZDA_CX-9 2WD
Small SUV 2WD,8.5785,Mercedes-Benz_GLA 250
Small SUV 2WD,9.8165,Mercedes-Benz_GLC 300
Small SUV 2WD,9.0467,Mitsubishi Motors Corporation_ECLIPSE CROSS 2WD
Small SUV 2WD,8.7117,Mitsubishi Motors Corporation_ECLIPSE CROSS ES 2WD
Small SUV 2WD,8.6001,Mitsubishi Motors Corporation_OUTLANDER 2WD
Small SUV 2WD,8.8433,Mitsubishi Motors Corporation_OUTLANDER SPORT 2WD
Small SUV 2WD,9.4086,Mitsubishi Motors Corporation_OUTLANDER SPORT 2WD
Small SUV 2WD,9.4086,Mitsubishi Motors Corporation_OUTLANDER SPORT 2WD
Small SUV 2WD,10.4348,NISSAN_PATHFINDER 2WD
Small SUV 2WD,8.2377,NISSAN_ROGUE FWD
Small SUV 2WD,6.832,NISSAN_ROGUE FWD Hybrid
Small SUV 2WD,10.9129,TOYOTA_HIGHLANDER
Small SUV 2WD,10.2914,TOYOTA_HIGHLANDER
Small SUV 2WD,10.0962,TOYOTA_HIGHLANDER LE/XLE/SE/LTD
Small SUV 2WD,7.7677,TOYOTA_RAV4
Small SUV 2WD,10.4606,Volkswagen_Atlas
Small SUV 2WD,12.1284,Volkswagen_Atlas
Small SUV 2WD,9.4625,Volkswagen_Tiguan
Small SUV 2WD,8.8062,"Volvo Cars of North America, LLC_XC40 FWD"
Small SUV 2WD,9.6516,"Volvo Cars of North America, LLC_XC60 FWD"
Small SUV 4WD,8.7727,Acura_MDX AWD
Small SUV 4WD,10.6619,Acura_MDX AWD
Small SUV 4WD,11.0174,Acura_MDX AWD A-spec
Small SUV 4WD,10.2267,Acura_RDX AWD
Small SUV 4WD,10.2571,Acura_RDX AWD A-SPEC
Small SUV 4WD,9.6349,ALFA ROMEO_Stelvio AWD
Small SUV 4WD,12.4475,ALFA ROMEO_Stelvio AWD
Small SUV 4WD,9.9236,Audi_Q5
Small SUV 4WD,11.4603,Audi_SQ5
Small SUV 4WD,10.38,BMW_X3 M40i
Small SUV 4WD,9.0953,BMW_X3 sDrive30i
Small SUV 4WD,9.555,BMW_X3 xDrive30i
Small SUV 4WD,10.38,BMW_X4 M40i
Small SUV 4WD,9.555,BMW_X4 xDrive30i
Small SUV 4WD,9.1312,Buick_ENCORE AWD
Small SUV 4WD,8.7517,Buick_ENCORE AWD
Small SUV 4WD,10.6506,Buick_ENVISION AWD
Small SUV 4WD,9.9569,Buick_ENVISION AWD
Small SUV 4WD,9.6582,Cadillac_XT4 AWD
Small SUV 4WD,11.2411,Cadillac_XT5 AWD
Small SUV 4WD,11.2733,Chevrolet_BLAZER AWD
Small SUV 4WD,8.6428,Chevrolet_EQUINOX AWD
Small SUV 4WD,7.3927,Chevrolet_EQUINOX AWD
Small SUV 4WD,9.7251,Chevrolet_EQUINOX AWD
Small SUV 4WD,9.1312,Chevrolet_TRAX AWD
Small SUV 4WD,12.4488,Dodge_Journey AWD
Small SUV 4WD,9.0552,FIAT_500X AWD
Small SUV 4WD,9.4086,Ford_ECOSPORT AWD
Small SUV 4WD,10.0328,Ford_EDGE AWD
Small SUV 4WD,11.0722,Ford_EDGE AWD
Small SUV 4WD,9.7025,Ford_ESCAPE AWD
Small SUV 4WD,10.1982,Ford_ESCAPE AWD
Small SUV 4WD,9.0479,GMC_TERRAIN AWD
Small SUV 4WD,7.3927,GMC_TERRAIN AWD
Small SUV 4WD,10.2267,GMC_TERRAIN AWD
Small SUV 4WD,8.0008,Honda_CR-V AWD
Small SUV 4WD,8.7237,Honda_CR-V AWD
Small SUV 4WD,11.2802,Honda_PASSPORT AWD
Small SUV 4WD,11.1256,Honda_PILOT AWD
Small SUV 4WD,10.6652,Honda_PILOT AWD
Small SUV 4WD,8.5617,HYUNDAI MOTOR COMPANY_Kona AWD
Small SUV 4WD,8.5715,HYUNDAI MOTOR COMPANY_Kona AWD
Small SUV 4WD,11.1875,HYUNDAI MOTOR COMPANY_Santa Fe AWD
Small SUV 4WD,10.0585,HYUNDAI MOTOR COMPANY_Santa Fe AWD
Small SUV 4WD,11.7099,HYUNDAI MOTOR COMPANY_Santa Fe XL AWD
Small SUV 4WD,12.6205,HYUNDAI MOTOR COMPANY_Santa Fe XL Ultimate AWD
Small SUV 4WD,10.0823,HYUNDAI MOTOR COMPANY_Tucson AWD
Small SUV 4WD,10.1528,HYUNDAI MOTOR COMPANY_Tucson AWD
Small SUV 4WD,8.9814,INFINITI_QX50 AWD
Small SUV 4WD,10.8431,INFINITI_QX60 AWD
Small SUV 4WD,8.1266,Jaguar_F-Pace
Small SUV 4WD,9.8807,Jaguar_F-Pace
Small SUV 4WD,11.8354,Jaguar_F-Pace
Small SUV 4WD,12.9316,Jaguar_F-Pace
Small SUV 4WD,9.8447,Jaguar_Jaguar E-Pace P250
Small SUV 4WD,10.0405,Jaguar_Jaguar E-Pace P300
Small SUV 4WD,9.766,Jeep_Cherokee 4X4
Small SUV 4WD,9.7272,Jeep_Cherokee 4X4
Small SUV 4WD,10.6001,Jeep_Cherokee 4X4
