X,Y,OBJECTID,ROAD,ROAD_NAME,COMMON_USAGE_NAME,START_SLK,END_SLK,CWY,START_TRUE_DIST,END_TRUE_DIST,NETWORK_TYPE,XSP,RA_NO,RA_NAME,LG_NO,LG_NAME,REST_AREA_TYPE,STAY_24_HOUR,REST_AREA_NAME,OWNERSHIP,INFORMATION_BOARD,SCENIC_LOOKOUT,COMMEMORATION_WAY,SURFACE,SURFACE_TYPE,SURFACE_AREA,CONSTRUCTED_SHELTER,NATURAL_SHADE,LIGHTING_PRESENT,NUMBER_OF_BINS,NUMBER_OF_TOILETS,ACCESSIBLE_TOILETS,EFFLUENT_DUMP_SITE,NUMBER_OF_TABLES,ACCESSIBLE_TABLES,ROUTE_NE_ID
120.008950908,-22.517110267,127188,M030,Marble Bar,Marble Bar Rd,108.5,108.5,Single,108.5,108.5,State Road,Left,11,Pilbara,812,East Pilbara,Heavy Vehicle Rest Area,No,Royhill Rest Area,Main Roads,No,No,,Surfaced,Two Coat Seal,,No,No,,,,No,No,,No,247781
116.008235696,-34.457875158,127189,M008,Vasse,Vasse Hwy,131.47,131.47,Single,131.47,131.47,State Road,Left,02,South West,213,Manjimup,Minor Rest Area,No,,Shared,Yes,No,,Surfaced,Asphalt Dense Graded,,No,Yes,,0,0,No,No,0,No,247861
118.972419166,-31.3323705249999,127190,H005,Great Eastern Hwy,Great Eastern Hwy,329.45,329.45,Single,329.87,329.87,State Road,Left,08,Wheatbelt,611,Yilgarn,Heavy Vehicle Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,700,No,No,,2,0,No,No,1,No,247651
117.626483989,-34.0115208029999,127191,M031,Northam Cranbrook,Great Southern Hwy,310.04,310.04,Single,310.58,310.58,State Road,Left,01,Great Southern,303,Broomehill - Tambellup,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,Yes,,1,0,No,No,1,No,247804
124.554068907,-32.384068704,127192,H003,Eyre Hwy,Eyre Hwy,282.46,282.46,Single,282.22,282.22,State Road,Left,05,Goldfields - Esperance,603,Dundas,Minor Rest Area,No,,Main Roads,No,Yes,,Unsurfaced,,,No,No,,1,0,No,No,0,No,247631
118.387770067,-32.513828142,127193,H052,Brookton Hwy,Kondinin Hyden Rd,264.65,264.65,Single,261.6,261.6,State Road,Left,08,Wheatbelt,410,Kondinin,Heavy Vehicle Rest Area,Yes,,Main Roads,No,No,,Unsurfaced,,,No,Yes,,1,0,No,No,0,No,247583
118.837684307,-34.249780186,127194,H008,South Coast Hwy,South Coast Hwy,132.56,132.56,Single,132.4,132.4,State Road,Left,01,Great Southern,318,Jerramungup,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,Yes,,0,0,No,No,0,No,247842
118.003612088,-33.932542944,127195,M005,Broomehill Jerramungup,Yougenup Rd,34.91,34.91,Single,34.91,34.91,State Road,Right,01,Great Southern,307,Gnowangerup,Minor Rest Area,No,Pioneer Park Rest Area,Main Roads,Yes,No,,Surfaced,Single Seal,,Yes,Yes,,1,0,No,No,1,No,247585
116.839508484,-34.4712082839999,127196,M024,Muir,Muir Hwy,79.15,79.15,Single,78.72,78.72,State Road,Right,01,Great Southern,304,Cranbrook,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,Yes,,1,0,No,No,0,No,247796
121.213597788,-28.6500421499999,127197,H049,Goldfields Hwy,Goldfields Hwy,338.78,338.78,Single,338.51,338.51,State Road,Right,05,Goldfields - Esperance,608,Leonora,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,1,0,No,No,0,No,247645
