Country Name,Domestic Health Expenditure (in millions of USD),Education Expenditure (in millions of USD),Final Consumption (in millions of USD),Research and Development Expenditure (in millions of USD)
Peru,6675.5,8295.3,27878.8,255
Philippines,4660.4,14453.2,37195.1,
Palau,17.6,,87.3,
Papua New Guinea,389.5,446.9,,
Poland,23777,24000.7,93109.3,5446.4
Puerto Rico,,,9057.5,
"Korea, Dem. People's Rep.",,,,
Portugal,12569.8,11075,37945.8,2913.1
Paraguay,1180,1204.9,4331.7,58
West Bank and Gaza,,761.5,3346.7,
French Polynesia,,,,
Qatar,3391.4,4780.5,28371.8,
Romania,8569.1,6552.8,33255.2,1065.3
Russian Federation,48025,73828.6,286769,17468.4
Rwanda,208.8,289.3,1388.7,
Saudi Arabia,30982.7,,168260.8,
Sudan,511.1,,3075.7,
Senegal,197,971.1,2862.7,
Singapore,7311.6,9504.5,34940.1,6608.1
Solomon Islands,52.5,,,
Sierra Leone,69.3,173.4,389.2,
El Salvador,1150.9,930.5,4029.9,45.2
San Marino,91.9,51.5,303.7,
Somalia,,,495.6,
Serbia,2090.2,1639.1,7130.7,385.9
South Sudan,,,,
Sao Tome and Principe,11.2,18.9,,
Suriname,130.3,219.4,388.2,
Slovak Republic,5098,3751.9,18070.3,843.7
Slovenia,2849.9,2317.2,8943.8,904.6
Sweden,49459.9,40948.8,140786.2,18193.3
Eswatini,154.4,270.3,1107.5,
Sint Maarten (Dutch part),,,,
Seychelles,55.6,56.1,316.3,
Syrian Arab Republic,,,,
Turks and Caicos Islands,,30.4,,
Chad,69.6,245.5,432.5,
Togo,59,240.5,821.9,
Thailand,13392.7,15314.1,74378.9,4571.7
Tajikistan,158,440,858.1,8.7
Turkmenistan,587.2,,2957.1,
Timor-Leste,45.8,113.7,873.6,
Tonga,13.2,,,
Trinidad and Tobago,823.7,797.2,,20.4
Tunisia,1650.1,,8313.6,
Turkey,27901.1,,123525.8,8244.5
Tuvalu,5.1,,,
Tanzania,841.4,2362.4,4530.3,
Uganda,298.6,695.9,2462.5,
Ukraine,3944.2,6072,23184.1,503
Uruguay,4272.8,2881.4,,310.8
United States,1669955.3,,2730692.9,550606.4
Uzbekistan,1246.4,3124.4,7819.5,92.1
St. Vincent and the Grenadines,22.7,45.4,,
"Venezuela, RB",,,,
British Virgin Islands,,,,
Virgin Islands (U.S.),,,1205,
Vietnam,6113.8,9142.6,14564.3,1178.7
Vanuatu,12.7,39.9,,
World,4767873.6,3510739.3,13463682.4,1726523.2
Samoa,34.3,34.8,,
Kosovo,,,974.5,
"Yemen, Rep.",,,,
South Africa,15215.3,21368.4,72703.7,2908.8
Zambia,459.1,965,3550.1,
Zimbabwe,323.2,1023.2,3807.4,
